onset	duration	trial_type
5.0	5.0	audio_speech_real_short_high_complex
10.0	6.0	audio_speech_pseudo_short_simple
16.0	4.5	audio_speech_real_short_low_simple
20.5	5.5	audio_speech_pseudo_long_complex
26.0	6.0	audio_speech_real_long_high_simple
32.0	4.5	audio_speech_real_short_low_complex
36.5	5.0	audio_speech_real_long_high_complex
41.5	4.0	audio_speech_real_long_low_simple
45.5	4.0	audio_speech_real_short_high_simple
49.5	5.0	audio_speech_real_long_low_complex
54.5	5.5	audio_speech_pseudo_long_simple
60.0	5.0	audio_speech_pseudo_short_complex
80.0	10.0	visual_write_pseudo_long_complex
90.0	10.5	visual_write_pseudo_short_simple
100.5	9.0	visual_write_real_short_low_simple
109.5	10.0	visual_write_pseudo_long_simple
119.5	11.0	visual_write_real_long_high_complex
130.5	11.0	visual_write_real_short_high_complex
141.5	10.0	visual_write_real_long_low_complex
151.5	10.5	visual_write_real_short_high_simple
162.0	9.5	visual_write_real_long_high_simple
171.5	9.5	visual_write_real_short_low_complex
181.0	10.0	visual_write_real_long_low_simple
191.0	9.0	visual_write_pseudo_short_complex
215.0	5.0	visual_speech_real_short_high_simple
220.0	5.0	visual_speech_real_short_low_simple
225.0	5.0	visual_speech_real_long_high_simple
230.0	4.0	visual_speech_real_long_high_complex
234.0	5.0	visual_speech_pseudo_long_complex
239.0	6.0	visual_speech_pseudo_short_complex
245.0	4.5	visual_speech_real_long_low_complex
249.5	5.5	visual_speech_real_short_high_complex
255.0	4.5	visual_speech_real_long_low_simple
259.5	6.0	visual_speech_pseudo_long_simple
265.5	5.5	visual_speech_pseudo_short_simple
271.0	4.0	visual_speech_real_short_low_complex
290.0	9.5	audio_write_real_long_low_complex
299.5	10.0	audio_write_real_long_high_simple
309.5	10.0	audio_write_real_long_high_complex
319.5	10.5	audio_write_real_short_low_complex
330.0	10.0	audio_write_pseudo_short_simple
340.0	9.0	audio_write_pseudo_long_complex
349.0	10.0	audio_write_real_short_high_complex
359.0	11.0	audio_write_real_long_low_simple
370.0	10.5	audio_write_pseudo_long_simple
380.5	11.0	audio_write_real_short_low_simple
391.5	9.0	audio_write_pseudo_short_complex
400.5	9.5	audio_write_real_short_high_simple
