onset	duration	trial_type
5.0	9.0	audio_write_pseudo_short_complex
15.5	9.0	audio_write_real_short_high_complex
25.5	9.0	audio_write_real_long_low_simple
36.5	9.0	audio_write_real_long_high_simple
46.5	9.0	audio_write_real_long_low_complex
55.5	9.0	audio_write_real_short_high_simple
64.5	9.0	audio_write_pseudo_long_complex
74.5	9.0	audio_write_pseudo_long_simple
84.0	9.0	audio_write_pseudo_short_simple
95.0	9.0	audio_write_real_short_low_complex
104.5	9.0	audio_write_real_long_high_complex
115.0	9.0	audio_write_real_short_low_simple
140.0	4.0	audio_speech_real_long_high_simple
145.0	4.0	audio_speech_real_short_low_simple
149.5	4.0	audio_speech_pseudo_long_complex
154.5	4.0	audio_speech_pseudo_short_simple
160.5	4.0	audio_speech_real_long_high_complex
164.5	4.0	audio_speech_real_long_low_complex
169.5	4.0	audio_speech_real_long_low_simple
175.5	4.0	audio_speech_real_short_high_complex
180.5	4.0	audio_speech_real_short_high_simple
184.5	4.0	audio_speech_pseudo_long_simple
190.0	4.0	audio_speech_real_short_low_complex
194.5	4.0	audio_speech_pseudo_short_complex
215.0	9.0	visual_write_real_short_high_complex
224.0	9.0	visual_write_real_long_low_simple
234.0	9.0	visual_write_real_long_high_complex
244.5	9.0	visual_write_real_short_high_simple
254.0	9.0	visual_write_pseudo_long_complex
263.5	9.0	visual_write_pseudo_short_complex
274.0	9.0	visual_write_pseudo_short_simple
284.0	9.0	visual_write_real_short_low_complex
294.0	9.0	visual_write_real_short_low_simple
304.0	9.0	visual_write_real_long_low_complex
315.0	9.0	visual_write_pseudo_long_simple
326.0	9.0	visual_write_real_long_high_simple
350.0	4.0	visual_speech_pseudo_short_complex
355.5	4.0	visual_speech_real_short_high_simple
361.5	4.0	visual_speech_real_long_high_complex
367.5	4.0	visual_speech_real_short_low_complex
372.5	4.0	visual_speech_real_short_high_complex
377.0	4.0	visual_speech_real_short_low_simple
381.5	4.0	visual_speech_real_long_high_simple
385.5	4.0	visual_speech_real_long_low_complex
390.5	4.0	visual_speech_pseudo_long_simple
395.5	4.0	visual_speech_real_long_low_simple
401.0	4.0	visual_speech_pseudo_short_simple
405.0	4.0	visual_speech_pseudo_long_complex
